통화명,매매기준율
미국 USD,"1,375.00"
유럽연합 EUR,"1,394.53"
일본 JPY (100엔),966.23
중국 CNY,198.50
홍콩 HKD,175.19
대만 TWD,44.49
영국 GBP,"1,610.95"
오만 OMR,"3,576.07"
캐나다 CAD,"1,059.65"
스위스 CHF,"1,446.45"
스웨덴 SEK,131.40
호주 AUD,946.76
뉴질랜드 NZD,843.77
체코 CZK,56.90
칠레 CLP,1.53
터키 TRY,75.38
몽골 MNT,0.42
이스라엘 ILS,409.70
덴마크 DKK,187.52
노르웨이 NOK,139.93
사우디아라비아 SAR,365.86
쿠웨이트 KWD,"4,463.71"
바레인 BHD,"3,647.41"
아랍에미리트 AED,374.35
요르단 JOD,"1,939.35"
이집트 EGP,71.10
태국 THB,37.89
싱가포르 SGD,986.09
말레이시아 MYR,305.08
인도네시아 IDR 100,9.28
카타르 QAR,375.38
카자흐스탄 KZT,2.90
브루나이 BND,986.09
인도 INR,17.38
파키스탄 PKR,5.93
방글라데시 BDT,14.47
필리핀 PHP,24.22
멕시코 MXN,69.44
브라질 BRL,269.95
베트남 VND 100,5.84
남아프리카 공화국 ZAR,80.57
러시아 RUB,22.81
헝가리 HUF,3.51
폴란드 PLN,296.41
스리랑카 LKR,3.77
알제리 DZD,9.78
케냐 KES,11.42
콜롬비아 COP,0.32
탄자니아 TZS,0.59
네팔 NPR,10.86
루마니아 RON,283.83
리비아 LYD,278.53
마카오 MOP,170.00
미얀마 MMK,0.65
에티오피아 ETB,26.04
우즈베키스탄 UZS,0.13
캄보디아 KHR,0.33
피지 FJD,619.99
